"","AGAL_control_differentiated_1","AGAL_control_undifferentiated_1","AGAL_control_differentiated_2","AGAL_control_undifferentiated_2","AGAL_control_differentiated_3","AGAL_control_undifferentiated_3","AGAL_knockout_differentiated_1","AGAL_knockout_undifferentiated_1","AGAL_knockout_differentiated_2","AGAL_knockout_undifferentiated_2","AGAL_knockout_differentiated_3","AGAL_knockout_undifferentiated_3"
"ENSBTAG00000008551",270.101378507837,217.532194177043,209.831604030179,150.597518452209,277.38249343614,179.640700161514,226.578078110208,176.020505252741,245.284820963077,134.671555536614,198.939962664517,162.621657922479
"ENSBTAG00000008552",1468.0875304436,1165.23476867116,1440.36676182416,1134.10448678726,1260.44078366702,969.801961341178,1545.83119692397,1060.41452880591,1576.96838651841,1098.40102694261,1389.04547414244,1282.96362308207
"ENSBTAG00000008556",26.5927347230299,8.71723007148664,11.8561405890897,12.6118011030722,34.1305134041052,11.3125212789871,3.22472982695406,5.94510839871174,12.2420301476309,15.3807338177553,3.63331135110329,6.22565682044088
"ENSBTAG00000008562",391.896312205845,516.379217290786,390.942742279464,425.584211750914,340.681289038798,574.595093010364,347.855219340279,501.396473578925,324.061172412715,437.574874187055,314.646657759264,418.10837682192
"ENSBTAG00000008567",52.2185265000121,17.0967816717104,20.6892399228779,13.9833885301983,37.0823366359729,15.0231500317135,39.7422516921378,26.0029359134796,22.6096402313144,12.6725295403188,14.0751902453599,23.9424394796142
"ENSBTAG00000008570",14583.6464885937,14507.3801143413,14296.281749149,14182.3542331059,15217.1102543769,15319.668629254,14492.05898228,14787.3263304061,14605.5554668294,14322.8115864671,13335.8604542763,15688.204194381
"ENSBTAG00000008573",348.650152176138,204.455091938324,325.365659165233,203.089127679475,239.145138902713,193.378998347905,379.178194888248,232.714925301024,330.732629908774,176.867206099923,308.03871579,139.38904714142
"ENSBTAG00000008576",33.5684485672995,14.8226094122302,51.7058426030941,31.5107585498852,24.712978234432,30.2144994905604,13.3508482932374,35.1327925703981,62.9195655940902,32.1007088899751,27.3397390838233,17.4363105030766
"ENSBTAG00000008577",2320.68523495929,2284.97681072249,2329.84238839269,2115.54102410507,1968.76092367747,2153.55639937647,2093.70676319897,2142.01285614033,2240.39300643963,2288.58598891578,2416.1749600953,2090.37497625645
"ENSBTAG00000008578",452.644690854667,1058.7054824705,427.957350807293,906.658584235567,428.86330280838,1152.9184131009,623.563219193236,1219.94807124432,522.307752341931,913.217669113513,544.898262612219,1184.56208357749
"ENSBTAG00000008579",1534.0737802189,3285.8364042059,1558.71279812041,3372.6290297038,1229.53781674885,3852.63021778163,1977.76277618947,4024.09086808215,1543.40105125933,3358.26086193521,1505.78333212723,3309.62757921829
"ENSBTAG00000008583",83.4141387841094,43.7311714975162,28.4750152927102,26.5441534146922,44.0864544047885,27.7518301695937,44.2143510884247,32.1785157534903,40.8612416173508,24.0423502143,24.4359023425095,13.8751258272911
"ENSBTAG00000008584",51.7142142586699,32.4976565728546,22.396324942282,56.640818920154,23.2102899851355,37.4810560225578,54.7826057249036,30.1994432811316,40.2635518962131,45.7492078595851,43.7925270214583,32.3536660795448
"ENSBTAG00000008585",1851.0741496315,1662.89540895147,1601.68306596721,1809.71849869827,1503.27922354951,1436.24956856854,1727.38116008509,1415.76643347325,1666.93917914489,1464.67750766048,1556.47589978237,1491.01015386671
"ENSBTAG00000008587",6.33438243549201,2.94630214772372,3.60603564389304,15.6426716853228,4.89651678425976,8.49160502550129,3.66761022151716,7.51361601544851,13.0983795003952,3.45581454786556,0,2.84470847625781
"ENSBTAG00000008590",1252.53545868735,761.690931023639,1100.83091667783,985.407235868596,1314.08618966265,1070.58859109378,1042.11208429438,1024.92602242198,1136.63168146778,950.535049233671,1051.27962183051,1099.0775282564
"ENSBTAG00000008591",2710.72165240781,918.000974472886,2085.48123428512,923.117501690887,2439.2761299747,990.863792699477,1807.46074223483,929.94858419468,1951.79174553531,935.769257754407,1830.99480114048,1028.19532958862
"ENSBTAG00000008592",152.80292159148,363.954702768188,158.854599691281,261.317799924301,118.546611835883,86.7771318168316,65.9384543581178,213.523502812593,173.138908142137,195.09092079251,172.492855110772,183.398471237311
"ENSBTAG00000008593",137.438378295022,19.892295823714,105.637723585209,20.1537673130874,159.66333343556,19.7958622965753,49.4803005259752,32.2476164199106,111.625922829646,22.1931758685032,113.881435217849,15.6293304838615
"ENSBTAG00000008595",1180.69694856628,1390.29963921942,1336.66055831108,1271.1000247914,1302.20640062954,1200.88790771492,1170.45970769548,1299.47605316058,1241.79635425541,1394.68789846933,1175.53506958326,1152.41250423773
"ENSBTAG00000008596",6192.09692464953,1485.97627006001,5253.27578609294,1268.52240902839,4374.29417263747,798.519632346785,4032.09688697336,638.149568093447,4755.68788594697,849.186473371708,3656.70447751004,1162.94301517369
"ENSBTAG00000008597",130.936002086376,64.0956291868004,99.1731391344313,72.3649089369629,142.810501933298,55.4540636035965,94.7890873199422,56.3320451908309,108.66962319836,76.8025233069618,90.2600380446534,60.0505753258146
"ENSBTAG00000008600",439.680160173863,483.823336945584,449.401017898764,467.381643644895,279.800327742235,177.208647645282,482.818394484302,624.61572073777,577.147386889432,513.848024686716,619.219017631837,465.902176362311
"ENSBTAG00000008606",1203.1274130241,1314.82276924492,1196.57108568871,1485.47627105907,1333.28048477973,1734.35357106784,1307.20217168504,1605.43879572133,1230.75814558875,1337.70529129098,1334.1667308568,1682.32090617325
"ENSBTAG00000008607",66.7720423777963,447.465587294807,85.8556681854869,418.388695603856,63.4902261535419,386.256844394672,81.4740289336967,308.308973216621,94.6010613103874,484.164808549262,154.119083434578,510.591158841443
"ENSBTAG00000008609",1264.82503217874,1085.4479673188,1010.87019157955,1200.15664321445,1129.12783050686,1236.00429189556,1244.49536929457,1160.61097969197,1071.16473827635,1102.36863369683,1203.31566932127,1064.96702083303
"ENSBTAG00000008611",5939.85456727725,2719.70796181858,3417.59704463949,2061.09620029695,7603.16484495847,2194.17490564855,3592.44466683798,4007.47276176205,4142.86680586755,2130.23737511785,2294.22452222532,666.334031390056
