"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSBTAG00000057983",17.3082004287539,3.75167242868161,0.940241657872627,3.9901150914437,6.60412416011438e-05,0.000259600472122055,"ENSBTAG00000057983"
"ENSBTAG00000058028",32.387283624623,0.94330318757213,0.492787038022825,1.91422077852713,0.0555919518749992,0.103039340043121,"ENSBTAG00000058028"
"ENSBTAG00000058033",1721.26891889437,-0.237187759365758,0.212975876735783,-1.11368368568809,0.265414910623696,0.373052283372457,"TRIM59"
"ENSBTAG00000058034",11.689463026455,-2.53783984603653,0.810629488286783,-3.13070259928503,0.00174388664675944,0.00496019662130764,"ENSBTAG00000058034"
"ENSBTAG00000058037",38.6068554729631,1.10099574106753,0.520062849259213,2.11704362777655,0.034256145279575,0.0681560180113321,"ENSBTAG00000058037"
"ENSBTAG00000058072",315.458962416438,0.00999577392015086,0.233651720767981,0.0427806561291145,0.965876384043299,0.97530032189145,"ENSBTAG00000058072"
"ENSBTAG00000058086",46.1397498374404,0.73652673764663,0.399123488377874,1.8453605440262,0.0649851086817017,0.117871280306733,"ERMAP"
"ENSBTAG00000058089",10.8051613015529,-0.239530998752344,0.757017125088446,-0.316414240595097,0.751688109371675,0.823638066025901,"ENSBTAG00000058089"
"ENSBTAG00000058105",56.7270894956131,-1.48389779784077,1.48183744651228,-1.00139040306569,0.316638101971216,0.429463172788546,"ENSBTAG00000058105"
"ENSBTAG00000058116",25.6416054111375,4.47222083805477,0.871569841552105,5.13122485983518,2.8786277357663e-07,1.80464517337563e-06,"ARL4D"
"ENSBTAG00000058119",27.0815584536291,-1.09127721869041,0.681806344935674,-1.60056770781939,0.109472699336467,0.182493042226331,"ENSBTAG00000058119"
"ENSBTAG00000058123",463.194473400196,0.960959839885135,0.174364215243738,5.51122166060186,3.56351607728879e-08,2.6511500092079e-07,"ENSBTAG00000058123"
"ENSBTAG00000058132",603.318936471701,-1.42800146511396,0.330164151233175,-4.32512572846059,1.52444890088973e-05,6.81575489470033e-05,"WDR62"
"ENSBTAG00000058136",215.759351934309,0.37294701250132,0.227593920328092,1.63865103234608,0.101285957655918,0.170511533515149,"ENSBTAG00000058136"
"ENSBTAG00000058143",16.3849969398004,1.65120308242347,0.728740558235821,2.26583118472342,0.0234617212527618,0.0490849531959188,"ENSBTAG00000058143"
"ENSBTAG00000058190",625.236714923569,-0.652195711368085,0.177221695131103,-3.68011213799535,0.000233131410057634,0.000814701683749707,"TSKU"
"ENSBTAG00000058194",43.5677364500288,0.299581257518204,0.676659688012789,0.44273548849646,0.657957070021592,0.746930944622606,"ENSBTAG00000058194"
"ENSBTAG00000058197",47.8819746513365,-0.210749325730029,0.52622450579965,-0.400493180015961,0.688793305673601,0.771873992849461,"ENSBTAG00000058197"
"ENSBTAG00000058213",9.77809256372373,-0.6664826378989,1.09311074285263,-0.609711909115096,0.542052664193636,0.647366339208177,"ENSBTAG00000058213"
"ENSBTAG00000058231",25.1007304510173,-1.76800426273678,0.704960468076167,-2.50794809468062,0.012143450367064,0.0276906635966316,"TAL2"
"ENSBTAG00000058255",50.7699977773773,-0.0229400830688283,0.459361955331968,-0.0499390138921064,0.960170987484391,0.971170302649837,"ENSBTAG00000058255"
"ENSBTAG00000058264",25.3442631730499,0.363477240089331,0.458234315109304,0.793212616568513,0.427653958032428,0.541906751717929,"ENSBTAG00000058264"
"ENSBTAG00000058271",413.209853919771,-0.384420560160522,0.213643884053666,-1.79935204727862,0.0719630098457067,0.127882471824334,"ENSBTAG00000058271"
"ENSBTAG00000058280",26.6091317599326,0.278290139617884,0.561366435865938,0.495737047742454,0.620079944978827,0.71472789714284,"ENSBTAG00000058280"
"ENSBTAG00000058312",180.95097553984,0.339137551109875,0.240152025445953,1.41217860011845,0.157897379917029,0.245579245975906,"ENSBTAG00000058312"
"ENSBTAG00000058313",154.124995037396,1.0496413252935,0.379893343806733,2.76298951378178,0.00572746064955,0.0142886619563759,"ENSBTAG00000058313"
"ENSBTAG00000058321",37.3606138949072,0.427109388520339,0.515503296750825,0.828528917685637,0.407371025041164,0.521438215953948,"ENSBTAG00000058321"
"ENSBTAG00000058341",102.55957614948,-0.0544608612163766,0.350545095070185,-0.155360499925046,0.876537122500571,0.913508684167743,"ENSBTAG00000058341"
"ENSBTAG00000058345",641.428661481832,0.132004463686796,0.141937510429028,0.930018169881883,0.352361676912089,0.46742157309225,"ENSBTAG00000058345"
"ENSBTAG00000058350",1554.06272028228,-0.362530300999235,0.136990730988422,-2.64638562319867,0.00813570127862144,0.019496681150739,"SOCS4"
"ENSBTAG00000058364",31.5466470141596,-0.0778400502712722,0.563175408355619,-0.138216351631107,0.890069432396339,0.923040382212416,"ENSBTAG00000058364"
"ENSBTAG00000058410",579.611007634823,0.627718932590205,0.147378469717494,4.25923090254271,2.05131486046293e-05,8.9033693462375e-05,"ENSBTAG00000058410"
"ENSBTAG00000058435",636.516540519848,0.417942516415548,0.126787001009898,3.2964145621121,0.000979273951040538,0.00295726211572299,"TMEM115"
