"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSBTAG00000002507",21894.4516838637,-1.27186929677797,0.215573380970434,-5.89993667609828,3.63641110911328e-09,2.660100038451e-08,"ATP5F1A"
"ENSBTAG00000002508",10.0019502338533,-0.154666406694305,0.717317654807731,-0.215617733172567,0.829285731856976,0.874587508388421,"GNG3"
"ENSBTAG00000002510",7952.00932562754,-0.353316288673695,0.0961532421277591,-3.67451248502097,0.000238303992121371,0.000772881121121096,"HNRNPUL2"
"ENSBTAG00000002512",1002.37919214806,-0.170529647499992,0.195554659622362,-0.87203060172181,0.383191683380549,0.492084844829415,"HAUS1"
"ENSBTAG00000002515",40.4420772627162,0.536633771382279,0.639253270500005,0.839469731554976,0.401205767685916,0.510544650554563,"DNAAF3"
"ENSBTAG00000002516",250.410077725246,0.53879371134387,0.188811467043495,2.853606932781,0.00432259776177445,0.0103758782015521,"YJU2B"
"ENSBTAG00000002518",963.664108559785,0.452402986504911,0.245017355719303,1.84641200284274,0.0648324057335282,0.112673634520513,"NKX6-1"
"ENSBTAG00000002520",613.381223050371,-0.726153892100362,0.229105349816838,-3.16951957988277,0.00152691170123914,0.00408882017812202,"CELF1"
"ENSBTAG00000002522",44.6366179150941,0.80220900338306,0.446325327894516,1.7973638358535,0.0722778780349973,0.123488564014868,"SYT5"
"ENSBTAG00000002524",1001.47189432345,-1.25608669825853,0.150082926258472,-8.36928443209657,5.79691711221596e-17,1.26006541249274e-15,"MRI1"
"ENSBTAG00000002526",751.185348751898,0.687874937949536,0.159305961608327,4.31794849988576,1.57486163741001e-05,6.44544668847285e-05,"BDH2"
"ENSBTAG00000002527",436.3703270348,-0.526583122238176,0.283260228954145,-1.85900831960219,0.0630259591380224,0.109950039883005,"ZSWIM4"
"ENSBTAG00000002528",15390.2124927694,-0.275555315552823,0.0675711980669279,-4.07799955359518,4.54248537766143e-05,0.000171000060758358,"EIF3A"
"ENSBTAG00000002531",568.589450744682,-0.0194027388922588,0.157763976080414,-0.12298586391084,0.902118291946289,0.929428441788155,"ARHGAP10"
"ENSBTAG00000002534",1071.24329030384,-0.0883484173806536,0.193879818795073,-0.455686506876903,0.648615426215114,0.733501229129568,"EEF1E1"
"ENSBTAG00000002539",765.697429652127,0.149847121273886,0.249914198949388,0.599594268368213,0.548776667932056,0.649194622815529,"TRIOBP"
"ENSBTAG00000002542",2189.02932454887,0.647674232309997,0.097447352204526,6.64640154563292,3.0034518811665e-11,3.05819221383937e-10,"KRCC1"
"ENSBTAG00000002549",16201.450531165,-2.0435222622158,0.225138684329146,-9.07672649995694,1.1188931896811e-19,3.49681817151325e-18,"PTMA"
"ENSBTAG00000002550",19.0284786464605,-0.735999602132329,0.831244233200581,-0.885419197795181,0.375930581974273,0.484386113685801,"ENSBTAG00000002550"
"ENSBTAG00000002554",1655.74373669099,0.969811492956211,0.126266346118957,7.68068074166446,1.58245405809988e-14,2.49750811719613e-13,"TCAF1"
"ENSBTAG00000002557",1193.85400380949,-0.640356971140662,0.166126239242557,-3.8546407482667,0.000115899691881979,0.000402682859026381,"MRPL19"
"ENSBTAG00000002561",149.179227394173,0.56402108105552,1.43758360113587,0.392339673748278,0.694807253279715,0.771017435393715,"CCDC120"
"ENSBTAG00000002562",720.728192223088,0.36634474984483,0.14788018408392,2.47730791055097,0.0132377644190877,0.0280389219183696,"PRAF2"
"ENSBTAG00000002563",380.683472894857,1.22102808701042,0.21424730274536,5.69915266780115,1.20404365792058e-08,8.12520322015246e-08,"WDR45"
"ENSBTAG00000002564",55.9125120224384,0.94644976526872,0.719003880598478,1.31633471085152,0.188061725422571,0.275332484367507,"DLG4"
"ENSBTAG00000002568",486.338178247134,0.0365278198627514,0.132140092701008,0.276432527903568,0.782215876008991,0.838819233097463,"GPKOW"
"ENSBTAG00000002570",484.854643495146,0.316102963579031,0.266132044509179,1.18776738878631,0.234925065772246,0.330491797263552,"PPP1R21"
"ENSBTAG00000002571",81.6239616359859,-0.975144749544519,0.36277001576241,-2.68805222916541,0.00718701542536552,0.0162768173561731,"PDCD2L"
"ENSBTAG00000002573",3515.01437569851,-0.798436636835049,0.118675509214133,-6.72789729003295,1.72132350370123e-11,1.8096112038078e-10,"UBA2"
"ENSBTAG00000002575",626.578361643413,-0.200505359608881,0.1338386433828,-1.49811261188149,0.134103994900743,0.207830740102711,"ENSBTAG00000002575"
"ENSBTAG00000002578",5109.35791538643,0.143909884059911,0.117036980835638,1.22961035932748,0.218843048885836,0.311703763982206,"ZMYND11"
"ENSBTAG00000002579",2421.07289320624,-1.90441593410058,0.174880256495849,-10.8898281158787,1.28883288089003e-27,8.94110107369092e-26,"FBL"
"ENSBTAG00000002583",30.8531004787039,-0.830867175387312,0.538286164316468,-1.54354176359404,0.122699382517033,0.193239666166902,"DNALI1"
"ENSBTAG00000002585",15.3749433612854,0.459103755985472,0.56993498289567,0.80553706960205,0.420509823798903,0.529031191240031,"SLC16A2"
"ENSBTAG00000002586",2511.72436996437,1.23157932926212,0.300061701091609,4.10442027350274,4.05330021573523e-05,0.000154193939511518,"TCF12"
"ENSBTAG00000002590",1158.0833734279,-0.704610558727467,0.125028055244506,-5.63561960033311,1.74430035027501e-08,1.15427338692727e-07,"EXOSC10"
"ENSBTAG00000002591",457.905116800383,-0.0717292432935226,0.225749856011075,-0.317737714481659,0.750683900533446,0.814250456174358,"GLTP"
"ENSBTAG00000002594",662.01017746415,1.26489400636235,0.204134987644682,6.19636065799767,5.77836380142406e-10,4.81680564180481e-09,"ZNF436"
"ENSBTAG00000002599",14.5248319968996,-0.292369800736102,0.738063696607671,-0.396130851686525,0.692008499630435,0.768722445568703,"MGARP"
"ENSBTAG00000002600",284.121556743043,0.132919951669049,0.198005990548578,0.671292577061898,0.50203416248532,0.607153576201116,"EFCAB7"
"ENSBTAG00000002603",1513.63400199199,0.578503279183215,0.123654247442053,4.67839391812494,2.89130687976077e-06,1.3475688690978e-05,"PRPF39"
"ENSBTAG00000002605",77.9003402093877,0.966974994878411,0.716559538290003,1.34946915532797,0.177186321164761,0.262023247953416,"TRIM16"
"ENSBTAG00000002606",6161.74828971803,-0.587353376179924,0.178113492802803,-3.29763549598237,0.000975026183536811,0.00272903582206513,"LGR4"
"ENSBTAG00000002608",14210.010008755,-0.50107678583554,0.106909622043204,-4.68691943960896,2.77348075846844e-06,1.29840445148026e-05,"SEPTIN2"
"ENSBTAG00000002610",2695.01218598689,-0.732327885110015,0.136815557973451,-5.35266526670982,8.66680847346549e-08,5.18366289843559e-07,"FKBP3"
